sub,Condition,Advice confidence,Evidence,Advice_deviance,Selection
101,Incentivized,0.6,0.4,0.2,1
101,Incentivized,0.2,0.2,0,1
101,Incentivized,0.2,0.6,-0.4,0
101,Incentivized,0.8,0.4,0.4,1
101,Incentivized,0.2,0.6,-0.4,0
101,Incentivized,0.2,0.6,-0.4,1
101,Incentivized,0.6,0.8,-0.2,1
101,Incentivized,0.3,0.4,-0.1,1
101,Incentivized,0.2,0.6,-0.4,0
101,Incentivized,0.8,0.4,0.4,0
101,Incentivized,0.6,0.8,-0.2,1
101,Incentivized,0.2,0.4,-0.2,1
101,Incentivized,-0.6,0.6,-1.2,1
101,Incentivized,0.2,0.2,0,1
101,Incentivized,0.2,0.4,-0.2,1
101,Incentivized,0.2,0.6,-0.4,0
101,Incentivized,0.2,0.6,-0.4,1
101,Incentivized,0.2,0.6,-0.4,1
101,Incentivized,0.2,0.2,0,1
101,Incentivized,-0.2,0.4,-0.6,0
101,Incentivized,0.8,0.4,0.4,1
101,Incentivized,0.2,0.8,-0.6,1
101,Incentivized,0.2,0.6,-0.4,1
101,Incentivized,0.2,0.4,-0.2,1
101,Incentivized,0.4,0.2,0.2,0
101,Incentivized,-0.2,0.6,-0.8,1
101,Incentivized,-0.4,0.4,-0.8,1
101,Incentivized,0.2,0.8,-0.6,0
101,Incentivized,1,0.4,0.6,1
101,Incentivized,0.2,0.6,-0.4,1
101,Incentivized,0.6,0.4,0.2,1
101,Incentivized,0.2,0.6,-0.4,0
101,Incentivized,0.8,0.4,0.4,1
101,Incentivized,0.6,0.6,0,0
101,Incentivized,1,0.6,0.4,0
